,Anticipation,joy,Trust,Fear,Surprise,Sadness,Disgust,Anger
0,0.2,0.1,0.2,0.1,0.2333333333333333,0.5333333333333333,0.26666666666666666,0.2333333333333333
1,0.2,0.1,0.2,0.1,0.2333333333333333,0.5333333333333333,0.26666666666666666,0.2333333333333333
2,0.3666666666666667,0.13333333333333333,0.2333333333333333,0.20000000000000004,0.39999999999999997,0.39999999999999997,0.2333333333333333,0.16666666666666666
3,0.5333333333333333,0.13333333333333333,0.2333333333333333,0.30000000000000004,0.5666666666666667,0.3333333333333333,0.16666666666666666,0.13333333333333333
4,0.5666666666666667,0.13333333333333333,0.2333333333333333,0.3333333333333333,0.7666666666666666,0.16666666666666666,0.1,0.1
5,0.5666666666666667,0.13333333333333333,0.2333333333333333,0.3333333333333334,0.7666666666666666,0.16666666666666666,0.1,0.1
6,0.5666666666666667,0.16666666666666666,0.26666666666666666,0.26666666666666666,0.7666666666666666,0.13333333333333333,0.1,0.1
7,0.7333333333333334,0.2,0.3,0.23333333333333336,0.8333333333333334,0.13333333333333333,0.06666666666666667,0.06666666666666667
8,0.7666666666666667,0.2,0.3,0.23333333333333336,0.7999999999999999,0.1,0.03333333333333333,0.03333333333333333
9,0.7666666666666667,0.2,0.3,0.3,0.7999999999999999,0.1,0.0,0.0
10,0.7333333333333334,0.2,0.3,0.4666666666666666,0.7666666666666666,0.13333333333333333,0.03333333333333333,0.03333333333333333
11,0.7333333333333334,0.2,0.3,0.5333333333333333,0.7666666666666666,0.16666666666666666,0.06666666666666667,0.06666666666666667
12,0.7666666666666667,0.2,0.3,0.6,0.7333333333333333,0.2333333333333333,0.1,0.1
13,0.7666666666666667,0.2,0.3,0.5333333333333333,0.6666666666666666,0.2333333333333333,0.1,0.1
14,0.7333333333333334,0.2,0.3,0.4666666666666666,0.6333333333333333,0.2333333333333333,0.1,0.1
15,0.7,0.2,0.3,0.4,0.6666666666666666,0.3333333333333333,0.1,0.13333333333333333
